business_id,name,address,review_count,rating,zipcode,cuisine
ikb5lhHmb2xndNZM-jr_Mw,Wolfgang's Steakhouse,4 Park Ave,1123,4.0,10016,Other
g5f6p9jfzB30Mhcu6d5OWA,Petite Boucherie,14 Christopher St,289,4.5,10014,French
Zp-K3ztVTzR-LrWwl_CBgA,La Pecora Bianca,20 W 40th St,258,4.0,10018,Italian
KEEXuHCYhsQJ-zpJhu98bA,Joe's Pizza,1435 Broadway,2045,4.0,10018,Other
W4hobe10Fy54MKqmLaObEg,Cafe Mogador,101 St Marks Pl,2140,4.0,10009,Other
Z65cd3Z7JvwK8TnSVg-cfA,District Tap House,246 W 38th St,886,4.0,10018,Other
rZIMlQ76I0mXL8uNii_wVg,Atera,77 Worth St,331,4.5,10013,Other
Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,352 W 39th St,1052,4.0,10018,Italian
l7G5tDA96xbA_bx1ZgkOeg,ICHIRAN Midtown,132 W 31st St,1356,4.0,10001,Other
0ASfmKBIeJlTO6IzES6rzw,Shiki Omakase,71 W Houston St,443,4.5,10012,Other
F0MuzanyO6YEen8VtP5LOg,Pennsylvania 6 NYC,132 W 31st St,621,4.0,10001,Other
icpLRhJ1jpBX1zBGkt7Xqg,Teppen Ramen,159 E 55th St,583,4.5,10022,Other
jNRT5vY1Hvp5WDTaHy4Mhw,Sarge's Delicatessen & Diner,548 3rd Ave,1450,4.0,10016,Other
OqNmzS2N2I750zYgUC6IgA,Riverpark,450 E 29th St,848,4.0,10016,Other
kctef59qqlzJNqAc1ZGEvg,The Capital Grille,155 E 42nd St,908,4.0,10017,Other
V3USzFEGhuoXez4G2Rk11A,Tavola,488 9th Ave,1348,4.0,10018,Italian
ogCC-lJJYnwXDvKGmKZ6Sw,Woorijip,12 W 32nd St,2895,4.0,10001,Korean
VrCCr45dhN-RRM107iptdg,Russ & Daughters,179 E Houston St,2813,4.5,10002,Other
7Bb_IDWV_zJqpBjAvxuBIA,Cooper's Craft & Cocktails,87 2nd Ave,493,4.0,10003,Other
OD4um1mrqmeInzIDNNsF9g,The Chemistry Room,130 West 47th St,78,4.5,10036,Japanese
SMrj71bWo1lomSbU8wXgyw,The Dolar Shop,55 3rd Ave,395,4.5,10003,Chinese
vRqj40pRwz0OHHRVgOdgRg,The Clocktower,5 Madison Avenue,452,4.0,10010,Other
CsdS-L70jLn-exz34j8h5Q,L'avenue at Saks,8 East 50th St,147,4.0,10022,French
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,129 MacDougal St,1667,4.0,10012,Italian
MhceeLrM2_3mcKw5EGLY6A,Pure Thai Cookhouse,766 9th Ave,2833,4.0,10019,Thai
5F9kZPnAleDYqCeCyvGJPA,Bad Roman,10 Columbus Cir,372,4.0,10019,Italian
K9_vumaLO80LXgoPNJJvRQ,The Terrace and Outdoor Gardens,701 7th Ave,163,4.0,10036,Other
m2Zsy2UAkcDf0cRzk2Yoqw,Madame Vo,212 E 10th St,1079,4.0,10003,Vietnamese
CqQ2Og9kf-LhlUWtODalCQ,Blue Ribbon Sushi Bar & Grill - Columbus Circle,308 W 58th St,862,4.0,10019,Japanese
JION8hhg7q6zyayHYwhxIw,The High Line,820 Washington St,2584,4.5,10014,Other
26emJlm1YMFyOCezfgVk4g,Da Raffaele,883 First Ave,222,4.5,10022,Italian
7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,890 2nd Ave,299,4.5,10017,Italian
KoGN70ndDHkJmMXiDCBS3A,BG Restaurant,754 5th Ave,453,4.0,10019,Other
LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,900 7th Ave,1203,4.0,10019,Italian
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,1360,4.0,10003,Other
tRIHhPKryUZ56SfIz6mLiA,Angelo's Coal Oven Pizzeria,117 W 57th St,1204,4.0,10019,Italian
6Ct7OeTRn4caY9g0swFBsw,La Contenta,102 Norfolk St,914,4.5,10002,Mexican
pk89jzL1RsE9U0thf_z6tw,Locanda Verde,377 Greenwich St,1842,4.0,10013,Italian
DeiVNRCo4kw5XUsHbXFkUg,Empire Steak House East,151 E 50th St,398,4.0,10022,Other
T-ciFE0hc6O2JDY8Y1cDgg,Foxy Johns Bar & Kitchen,143 E 47th St,349,4.0,10017,Other
zTK8reqKrmV7U71YVHYYjg,Armani Ristorante,717 5th Ave,291,4.0,10022,Italian
faukkggAc_tuJ4THYlf4fg,La Masseria,235 W 48th St,720,4.0,10036,Italian
csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,163 East 33rd St,1055,4.0,10016,French
3xTQT7qjZJIxc-eBiFMerQ,1803 Nyc,82 Reade St,797,4.0,10007,Cajun/Creole
gXnC_aZR09BvqEQKGKFjBg,BCD Tofu House,5 W 32nd St,2464,4.0,10001,Korean
AT12PEBFRWFox6l2tr7w4w,Junior's Restaurant & Bakery,"1626 Broadway,49th St",1029,4.0,10019,Other
wtfEOjfOWVuugf-SuCC5yA,Avra Madison,14 E 60th St,481,4.0,10022,Greek
0BzxIsoRuFvxbMPl-iH70A,Market Table,54 Carmine St,870,4.0,10014,Other
MaoCNdHni6MLjM9iYQqHcg,Frida Midtown,214 E 52nd St,163,4.5,10022,Mexican
Xu8H24NxJJxEE-9wGp_AMA,The Brazen Tavern,356 W 44th St,436,4.5,10036,Other
ZjU9qd-RR55cEEKufmdN5Q,Cathédrale Restaurant,112 E 11th St,450,4.0,10003,French
AIKjw2QLvVNdha3TciJYzg,Boqueria Soho,171 Spring St,1252,4.0,10012,Spanish
K_nsaXmlsyg0I8PoIjPXrA,Morton's The Steakhouse,551 5th Ave,622,4.0,10017,Other
EDucGBSfQ0YIbxdHS-KnCg,Sagaponack,4 W 22nd St,275,4.5,10010,Other
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,314 E 70th St,288,4.5,10021,Other
CcxreLJbZsO6Z775-hMWpw,St Tropez West Village,304 W 4th St,280,4.5,10014,French
T-RXDLq_VEv7s1_SooYIYQ,Osteria 57,57 W 10th St,333,4.5,10011,Italian
210LxcDl5dXlYOMlIUmEFQ,Lips Drag Queen Show Palace Restaurant & Bar,227 E 56th St,784,4.0,10022,Other
eoz2NahxyivVRs8Ll9Ljjg,Aldo Sohm Wine Bar,151 W 51st St,280,4.0,10019,French
y6XohzcYjUAQOD8U3NT_yw,The Stag's Head,252 E 51st St,445,4.0,10022,Other
yB4ziqFM_7V8JxJas7CHfA,Ulivo,4 W 28th St,380,4.0,10001,Italian
ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,189 Spring St,5398,4.0,10012,Other
GuzlMBKNoClNx5I1-x-DDg,53 NYC,53 W 53rd St,114,4.0,10019,Other
s5N-w7EPY3DA68id5qycyA,Zaytinya - New York,1185 Broadway,285,4.0,10001,Mediterranean
qhyll2gPT-gGDRP6JGn1aQ,Bice Cucina - Midtown,62 W 55th St,162,4.0,10019,Italian
PnGSE8JGbMZKtdHi9go7Kg,The Milling Room,446 Columbus Ave,576,4.0,10024,Other
BxNs9d8rEW3Tls-nVdmIgA,Reichenbach Hall,5 W 37th St,850,4.0,10018,Other
rCtsqHtOAOjZ7EUQDFRSbA,Pinto Garden,117 W 10th St,475,4.0,10011,Thai
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,17 Prince St,3318,4.0,10012,Mexican
9b_FvTUgkkUUMyL0nGhFtg,Three Roosters,792 9th Ave,222,4.5,10019,Thai
LF1QAuvpfX7KGQlg2zMg6Q,John's of Bleecker Street,278 Bleecker St,2650,4.0,10014,Other
-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,11 E 47th St,1625,4.0,10017,Japanese
2VpurA2lb-q90nmALklNcA,Perry St,176 Perry St,1005,4.0,10014,French
EbX_9tqAJs4gW51gZpOB7g,Rasa,25 W 8th St,850,4.0,10011,Thai
6gDUVNZo0E9lxO2DkAhHOQ,The Greek,452 Washington St,528,4.5,10013,Greek
